release_year,count
1925,1
1942,2
1943,3
1944,2
1945,4
1946,2
1947,1
1954,2
1955,3
1956,2
1958,3
1959,1
1960,4
1961,1
1962,3
1963,2
1964,2
1965,2
1966,1
1967,5
1968,3
1969,2
1970,2
1971,5
1972,5
1973,10
1974,7
1975,7
1976,9
1977,7
1978,7
1979,11
1980,11
1981,13
1982,17
1983,11
1984,12
1985,10
1986,13
1987,8
1988,18
1989,16
1990,21
1991,17
1992,23
1993,28
1994,21
1995,25
1996,24
1997,37
1998,36
1999,39
2000,37
2001,45
2002,51
2003,61
2004,64
2005,80
2006,95
2007,88
2008,136
2009,152
2010,193
2011,185
2012,237
2013,288
2014,352
2015,559
2016,901
2017,1030
2018,1145
2019,1026
2020,952
2021,589
